"filename", "language", "JSON", "JavaScript JSX", "PostCSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\LogoutButton.js", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\PricingPage.js", "JavaScript JSX", 0, 290, 0, 0, 0, 0, 7, 15, 312
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\PrivacyPolicyPage.js", "JavaScript JSX", 0, 201, 0, 0, 0, 0, 2, 16, 219
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\PrivateRoute.js", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 2, 3, 12
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\RegistrationPage.js", "JavaScript JSX", 0, 268, 0, 0, 0, 0, 12, 21, 301
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\ResetPasswordPage.js", "JavaScript JSX", 0, 104, 0, 0, 0, 0, 0, 13, 117
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\SuperAdminDashboard.js", "JavaScript JSX", 0, 1048, 0, 0, 0, 0, 7, 76, 1131
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\TermsOfServicePage.js", "JavaScript JSX", 0, 211, 0, 0, 0, 0, 2, 19, 232
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\Testimonials.js", "JavaScript JSX", 0, 292, 0, 0, 0, 0, 9, 19, 320
"c:\Users\rajne\OneDrive\Desktop\All Projects\Zidio Projects\excel-analytics-app\my-excel-analytics-app\src\UserDashboard.js", "JavaScript JSX", 0, 827, 0, 0, 0, 0, 23, 48, 898
